054813.2+014229.8|0116 00236 1|8.0
054814.7+013635.0|0116 00732 1|7.1
054846.0+004332.0|0116 00983 1|7.2
054634.9+011005.5|0116 01316 1|6.0
055226.4+015118.5|0116 01329 1|4.9
055444.0+005807.0|0117 00201 1|6.1
055813.5+015123.0|0117 00550 1|6.9
055754.5+011327.5|0117 01091 1|6.4
055557.3+005010.1|0117 01240 1|7.2
055824.4+015013.6|0117 01338 1|5.9
055849.6+003310.7|0117 01471 1|5.2
055725.3+000139.1|0117 01543 1|6.9
053230.5+023854.2|0118 00854 1|7.5
053141.2+024958.2|0118 00964 1|7.5
053308.9+030751.9|0118 02174 1|7.6
053403.9+030326.9|0118 02227 1|7.8
053105.0+032111.8|0118 02412 1|7.9
053114.5+031731.9|0118 02925 1|5.7
053114.5+031731.9|0118 02925 2|6.7
053852.6+025142.4|0119 00759 1|7.9
053816.1+015916.3|0119 01227 1|7.5
054217.6+022201.8|0119 01868 1|6.7
054733.5+025424.3|0120 00408 1|7.8
054643.2+024226.5|0120 00505 1|7.8
055030.0+020128.9|0120 00877 1|6.1
055025.6+031204.6|0120 00964 1|8.0
055929.9+022834.2|0121 00432 1|7.8
055748.7+020356.1|0121 00494 1|7.9
055415.8+031332.3|0121 00784 1|6.5
053127.0+041856.4|0122 00303 1|7.8
053610.4+043747.0|0122 00877 1|7.4
053019.9+041217.3|0122 01238 1|6.3
053145.8+051830.6|0122 01732 1|6.8
053416.8+034600.8|0122 02409 1|5.3
053713.3+044606.8|0122 02410 1|7.8
053057.7+044007.4|0122 02411 1|7.9
054045.2+050438.8|0123 00114 1|7.0
054153.6+045917.5|0123 00356 1|7.7
054323.9+052131.1|0123 00609 1|6.7
053816.2+045602.3|0123 00614 1|7.9
054126.8+034640.9|0123 00713 1|6.9
054430.6+042021.0|0123 00880 1|7.2
054443.5+034953.1|0123 00969 1|7.6
054342.2+040015.3|0123 01018 1|7.9
053945.2+042604.5|0123 01170 1|8.0
053911.1+040717.3|0123 02200 1|4.5
054907.8+041244.9|0124 00486 1|7.8
055023.9+045724.3|0124 01069 1|7.4
054828.2+044214.0|0124 01313 1|7.4
054730.0+040600.7|0124 01346 1|7.6
054815.1+035356.2|0124 01380 1|7.8
054501.8+040029.3|0124 01656 1|6.1
055013.1+042524.3|0124 01762 1|6.1
055456.5+052113.8|0125 00077 1|7.5
055727.7+050004.5|0125 00630 1|7.9
055953.6+035927.6|0125 00708 1|7.5
053443.4+053939.2|0126 00576 1|6.7
053445.7+063313.6|0126 00598 1|7.9
053438.4+060736.7|0126 00672 1|7.8
